#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2015 01 01 00 15 999 99.0 99.0  1.94  9.88  6.37  98 9999.0 999.0  28.8 999.0 99.0 99.00
2015 01 01 00 45 999 99.0 99.0  2.04  9.88  6.50  90 9999.0 999.0  28.9 999.0 99.0 99.00
2015 01 01 01 15 999 99.0 99.0  1.90  9.09  6.31  84 9999.0 999.0  28.9 999.0 99.0 99.00
2015 01 01 01 45 999 99.0 99.0  1.99  9.09  6.18  90 9999.0 999.0  28.9 999.0 99.0 99.00
2015 01 01 02 15 999 99.0 99.0  2.00  9.09  6.33  76 9999.0 999.0  28.9 999.0 99.0 99.00
2015 01 01 02 45 999 99.0 99.0  1.91  9.88  6.37  76 9999.0 999.0  28.9 999.0 99.0 99.00
2015 01 01 03 15 999 99.0 99.0  1.93 11.11  6.30  74 9999.0 999.0  29.0 999.0 99.0 99.00
2015 01 01 03 45 999 99.0 99.0  2.03  9.09  6.40  78 9999.0 999.0  29.0 999.0 99.0 99.00
2015 01 01 04 15 999 99.0 99.0  1.98  9.88  6.55  87 9999.0 999.0  29.0 999.0 99.0 99.00
2015 01 01 04 45 999 99.0 99.0  2.09  9.88  6.70  83 9999.0 999.0  29.0 999.0 99.0 99.00
2015 01 01 05 15 999 99.0 99.0  1.86  9.88  6.40  92 9999.0 999.0  29.0 999.0 99.0 99.00
2015 01 01 05 45 999 99.0 99.0  1.84 10.53  6.29  84 9999.0 999.0  29.0 999.0 99.0 99.00
2015 01 01 06 15 999 99.0 99.0  1.90  9.88  6.82  92 9999.0 999.0  29.0 999.0 99.0 99.00
2015 01 01 06 45 999 99.0 99.0  1.77 10.53  6.52  95 9999.0 999.0  29.0 999.0 99.0 99.00
2015 01 01 07 15 999 99.0 99.0  1.74 10.53  6.58  83 9999.0 999.0  29.0 999.0 99.0 99.00
2015 01 01 07 45 999 99.0 99.0  1.92  9.88  6.87  97 9999.0 999.0  29.0 999.0 99.0 99.00
2015 01 01 08 15 999 99.0 99.0  1.84  9.88  6.87  85 9999.0 999.0  29.0 999.0 99.0 99.00
2015 01 01 08 45 999 99.0 99.0  2.03  9.88  7.19  98 9999.0 999.0  29.0 999.0 99.0 99.00
2015 01 01 09 15 999 99.0 99.0  1.78 10.53  6.65  94 9999.0 999.0  28.9 999.0 99.0 99.00
