#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2011 01 01 00 22 999 99.0 99.0  1.08  7.69  6.17 105 9999.0 999.0  29.0 999.0 99.0 99.00
2011 01 01 00 52 999 99.0 99.0  1.09  7.14  6.36 101 9999.0 999.0  29.0 999.0 99.0 99.00
2011 01 01 01 22 999 99.0 99.0  1.06  7.14  6.14 101 9999.0 999.0  29.0 999.0 99.0 99.00
2011 01 01 01 52 999 99.0 99.0  1.02  6.25  6.02  88 9999.0 999.0  29.1 999.0 99.0 99.00
2011 01 01 02 22 999 99.0 99.0  1.05 10.53  5.96  74 9999.0 999.0  29.1 999.0 99.0 99.00
2011 01 01 02 52 999 99.0 99.0  1.11  6.67  6.00 102 9999.0 999.0  29.1 999.0 99.0 99.00
2011 01 01 03 22 999 99.0 99.0  1.02  7.69  5.88  92 9999.0 999.0  29.2 999.0 99.0 99.00
2011 01 01 03 52 999 99.0 99.0  0.96  6.25  5.90  91 9999.0 999.0  29.2 999.0 99.0 99.00
2011 01 01 04 22 999 99.0 99.0  1.04  6.67  5.99  99 9999.0 999.0  29.3 999.0 99.0 99.00
2011 01 01 04 52 999 99.0 99.0  1.06  6.25  5.95  95 9999.0 999.0  29.2 999.0 99.0 99.00
2011 01 01 05 22 999 99.0 99.0  1.11  6.67  6.18  97 9999.0 999.0  29.1 999.0 99.0 99.00
2011 01 01 05 52 999 99.0 99.0  1.14 11.11  6.22  80 9999.0 999.0  29.1 999.0 99.0 99.00
2011 01 01 06 22 999 99.0 99.0  1.08  8.33  6.18  95 9999.0 999.0  29.1 999.0 99.0 99.00
2011 01 01 06 52 999 99.0 99.0  1.12  6.67  6.16  94 9999.0 999.0  29.1 999.0 99.0 99.00
2011 01 01 07 22 999 99.0 99.0  1.05  7.14  6.10 101 9999.0 999.0  29.1 999.0 99.0 99.00
2011 01 01 07 52 999 99.0 99.0  1.09  7.14  6.27 102 9999.0 999.0  29.1 999.0 99.0 99.00
2011 01 01 08 22 999 99.0 99.0  1.14  7.14  6.06 104 9999.0 999.0  29.1 999.0 99.0 99.00
2011 01 01 08 52 999 99.0 99.0  1.08  7.14  6.04 102 9999.0 999.0  29.0 999.0 99.0 99.00
2011 01 01 09 22 999 99.0 99.0  1.15  6.67  6.18 104 9999.0 999.0  29.0 999.0 99.0 99.00
2011 01 01 09 52 999 99.0 99.0  1.05  6.67  6.06 101 9999.0 999.0  29.0 999.0 99.0 99.00
2011 01 01 10 22 999 99.0 99.0  1.12  7.14  6.18  98 9999.0 999.0  29.0 999.0 99.0 99.00
2011 01 01 10 52 999 99.0 99.0  1.14  7.14  5.96 101 9999.0 999.0  29.1 999.0 99.0 99.00
2011 01 01 11 22 999 99.0 99.0  1.10  6.67  6.02  92 9999.0 999.0  29.1 999.0 99.0 99.00
2011 01 01 11 52 999 99.0 99.0  1.09  7.14  6.12  97 9999.0 999.0  29.1 999.0 99.0 99.00
2011 01 01 12 22 999 99.0 99.0  1.17  6.67  6.16  95 9999.0 999.0  29.1 999.0 99.0 99.00
2011 01 01 12 52 999 99.0 99.0  1.10  7.14  6.16  95 9999.0 999.0  29.1 999.0 99.0 99.00
2011 01 01 13 22 999 99.0 99.0  1.16  7.14  6.16  98 9999.0 999.0  29.0 999.0 99.0 99.00
2011 01 01 13 52 999 99.0 99.0  1.10  6.67  6.07  94 9999.0 999.0  29.0 999.0 99.0 99.00
2011 01 01 14 22 999 99.0 99.0  1.10  7.14  5.98  94 9999.0 999.0  29.0 999.0 99.0 99.00
2011 01 01 14 52 999 99.0 99.0  1.11  7.69  6.23  95 9999.0 999.0  28.7 999.0 99.0 99.00
2011 01 01 15 22 999 99.0 99.0  1.12  7.14  6.34 104 9999.0 999.0  28.7 999.0 99.0 99.00
2011 01 01 15 52 999 99.0 99.0  1.05  7.14  6.32 102 9999.0 999.0  28.7 999.0 99.0 99.00
2011 01 01 16 22 999 99.0 99.0  1.08  7.14  6.48 101 9999.0 999.0  28.9 999.0 99.0 99.00
