#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2020 01 01 00 00 999 99.0 99.0  2.62  9.09  6.68  83 9999.0 999.0  27.8 999.0 99.0 99.00
2020 01 01 00 30 999 99.0 99.0  2.65  9.09  6.94  75 9999.0 999.0  27.8 999.0 99.0 99.00
2020 01 01 01 00 999 99.0 99.0  2.59  9.09  7.16  76 9999.0 999.0  27.8 999.0 99.0 99.00
2020 01 01 01 30 999 99.0 99.0  2.53  9.09  6.95  83 9999.0 999.0  27.8 999.0 99.0 99.00
2020 01 01 02 00 999 99.0 99.0  2.69 10.53  7.36  75 9999.0 999.0  27.8 999.0 99.0 99.00
2020 01 01 02 30 999 99.0 99.0  2.55  9.09  7.18  77 9999.0 999.0  27.8 999.0 99.0 99.00
2020 01 01 03 00 999 99.0 99.0  2.74  8.33  7.25  77 9999.0 999.0  27.8 999.0 99.0 99.00
2020 01 01 03 30 999 99.0 99.0  2.77  9.88  7.63  75 9999.0 999.0  27.9 999.0 99.0 99.00
2020 01 01 04 00 999 99.0 99.0  2.59  9.09  7.26  68 9999.0 999.0  27.8 999.0 99.0 99.00
2020 01 01 04 30 999 99.0 99.0  2.73  9.09  7.56  70 9999.0 999.0  27.8 999.0 99.0 99.00
2020 01 01 05 00 999 99.0 99.0  2.63  9.09  7.35  76 9999.0 999.0  27.8 999.0 99.0 99.00
2020 01 01 05 30 999 99.0 99.0  2.71  8.33  7.16  76 9999.0 999.0  27.8 999.0 99.0 99.00
2020 01 01 06 00 999 99.0 99.0  2.75  9.09  7.35  86 9999.0 999.0  27.8 999.0 99.0 99.00
2020 01 01 06 30 999 99.0 99.0  2.82  9.09  7.15  77 9999.0 999.0  27.8 999.0 99.0 99.00
2020 01 01 07 00 999 99.0 99.0  2.68  9.88  7.09  83 9999.0 999.0  27.8 999.0 99.0 99.00
