#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2022 01 01 00 26 999 99.0 99.0  1.63  7.69  5.62  84 9999.0 999.0  28.7 999.0 99.0 99.00
2022 01 01 00 56 999 99.0 99.0  1.64  7.69  5.84  92 9999.0 999.0  28.7 999.0 99.0 99.00
2022 01 01 01 26 999 99.0 99.0  1.68  8.33  5.72  80 9999.0 999.0  28.7 999.0 99.0 99.00
2022 01 01 01 56 999 99.0 99.0  1.57  8.33  5.67  73 9999.0 999.0  28.7 999.0 99.0 99.00
2022 01 01 02 26 999 99.0 99.0  1.58  8.33  5.59  84 9999.0 999.0  28.7 999.0 99.0 99.00
2022 01 01 02 56 999 99.0 99.0  1.63  7.69  5.87  84 9999.0 999.0  28.7 999.0 99.0 99.00
2022 01 01 03 26 999 99.0 99.0  1.54  7.69  5.55  81 9999.0 999.0  28.7 999.0 99.0 99.00
2022 01 01 03 56 999 99.0 99.0  1.55  7.69  5.51  80 9999.0 999.0  28.7 999.0 99.0 99.00
2022 01 01 04 26 999 99.0 99.0  1.60  7.69  5.70  92 9999.0 999.0  28.7 999.0 99.0 99.00
2022 01 01 04 56 999 99.0 99.0  1.45  8.33  5.50  83 9999.0 999.0  28.8 999.0 99.0 99.00
2022 01 01 05 26 999 99.0 99.0  1.39  7.69  5.44  85 9999.0 999.0  28.8 999.0 99.0 99.00
2022 01 01 05 56 999 99.0 99.0  1.41  8.33  5.62  88 9999.0 999.0  28.8 999.0 99.0 99.00
2022 01 01 06 26 999 99.0 99.0  1.45  8.33  5.80  85 9999.0 999.0  28.7 999.0 99.0 99.00
2022 01 01 06 56 999 99.0 99.0  1.43  8.33  5.89  84 9999.0 999.0  28.7 999.0 99.0 99.00
2022 01 01 07 26 999 99.0 99.0  1.32  8.33  5.64  84 9999.0 999.0  28.7 999.0 99.0 99.00
2022 01 01 07 56 999 99.0 99.0  1.35  8.33  5.85  84 9999.0 999.0  28.7 999.0 99.0 99.00
2022 01 01 08 26 999 99.0 99.0  1.30  7.69  5.67  84 9999.0 999.0  28.7 999.0 99.0 99.00
2022 01 01 08 56 999 99.0 99.0  1.36  7.69  5.79  88 9999.0 999.0  28.7 999.0 99.0 99.00
2022 01 01 09 26 999 99.0 99.0  1.44  8.33  5.91  83 9999.0 999.0  28.7 999.0 99.0 99.00
2022 01 01 09 56 999 99.0 99.0  1.39  7.69  5.52  87 9999.0 999.0  28.7 999.0 99.0 99.00
2022 01 01 10 26 999 99.0 99.0  1.33  7.69  5.56  84 9999.0 999.0  28.6 999.0 99.0 99.00
2022 01 01 10 56 999 99.0 99.0  1.38  8.33  5.76  73 9999.0 999.0  28.7 999.0 99.0 99.00
2022 01 01 11 26 999 99.0 99.0  1.40  8.33  5.73  83 9999.0 999.0  28.7 999.0 99.0 99.00
2022 01 01 11 56 999 99.0 99.0  1.36  7.69  5.69  90 9999.0 999.0  28.6 999.0 99.0 99.00
2022 01 01 12 26 999 99.0 99.0  1.41  7.69  5.66  88 9999.0 999.0  28.6 999.0 99.0 99.00
2022 01 01 12 56 999 99.0 99.0  1.33  7.14  5.64  84 9999.0 999.0  28.6 999.0 99.0 99.00
2022 01 01 13 26 999 99.0 99.0  1.34  8.33  5.42  81 9999.0 999.0  28.7 999.0 99.0 99.00
2022 01 01 13 56 999 99.0 99.0  1.51  7.69  5.76  91 9999.0 999.0  28.6 999.0 99.0 99.00
2022 01 01 14 26 999 99.0 99.0  1.41  7.69  5.47  85 9999.0 999.0  28.6 999.0 99.0 99.00
2022 01 01 14 56 999 99.0 99.0  1.43  8.33  5.63  83 9999.0 999.0  28.6 999.0 99.0 99.00
2022 01 01 15 26 999 99.0 99.0  1.45  7.69  5.46  88 9999.0 999.0  28.6 999.0 99.0 99.00
2022 01 01 15 56 999 99.0 99.0  1.42  7.69  5.50  78 9999.0 999.0  28.7 999.0 99.0 99.00
2022 01 01 16 26 999 99.0 99.0  1.43  7.69  5.67  90 9999.0 999.0  28.6 999.0 99.0 99.00
2022 01 01 16 56 999 99.0 99.0  1.36  7.69  5.61  88 9999.0 999.0  28.6 999.0 99.0 99.00
2022 01 01 17 26 999 99.0 99.0  1.36  7.14  5.45  88 9999.0 999.0  28.6 999.0 99.0 99.00
