#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2021 05 01 02 56 999 99.0 99.0  1.42 15.38  5.95  50 9999.0 999.0  29.6 999.0 99.0 99.00
2021 05 01 03 26 999 99.0 99.0  1.48  7.14  5.73  94 9999.0 999.0  29.6 999.0 99.0 99.00
2021 05 01 03 56 999 99.0 99.0  1.40  8.33  5.71  69 9999.0 999.0  29.6 999.0 99.0 99.00
2021 05 01 04 26 999 99.0 99.0  1.36 14.29  5.78  39 9999.0 999.0  29.7 999.0 99.0 99.00
2021 05 01 04 56 999 99.0 99.0  1.37  6.67  5.55 101 9999.0 999.0  29.8 999.0 99.0 99.00
2021 05 01 05 26 999 99.0 99.0  1.41  7.14  5.91  94 9999.0 999.0  29.7 999.0 99.0 99.00
2021 05 01 05 56 999 99.0 99.0  1.43  7.14  5.78  88 9999.0 999.0  29.7 999.0 99.0 99.00
2021 05 01 06 26 999 99.0 99.0  1.49  8.33  5.67  77 9999.0 999.0  29.6 999.0 99.0 99.00
2021 05 01 06 56 999 99.0 99.0  1.39  7.69  5.55  85 9999.0 999.0  29.6 999.0 99.0 99.00
2021 05 01 07 26 999 99.0 99.0  1.40  9.09  5.42  78 9999.0 999.0  29.6 999.0 99.0 99.00
2021 05 01 07 56 999 99.0 99.0  1.49  7.14  5.64  85 9999.0 999.0  29.6 999.0 99.0 99.00
2021 05 01 08 26 999 99.0 99.0  1.37 14.29  5.40  71 9999.0 999.0  29.6 999.0 99.0 99.00
2021 05 01 08 56 999 99.0 99.0  1.38  7.69  5.43  85 9999.0 999.0  29.6 999.0 99.0 99.00
2021 05 01 09 26 999 99.0 99.0  1.45  7.14  5.58  94 9999.0 999.0  29.6 999.0 99.0 99.00
2021 05 01 09 56 999 99.0 99.0  1.34  7.69  5.46  91 9999.0 999.0  29.6 999.0 99.0 99.00
2021 05 01 10 26 999 99.0 99.0  1.35  8.33  5.46  78 9999.0 999.0  29.6 999.0 99.0 99.00
2021 05 01 10 56 999 99.0 99.0  1.34  7.14  5.19  97 9999.0 999.0  29.6 999.0 99.0 99.00
2021 05 01 11 26 999 99.0 99.0  1.34  6.67  5.33 104 9999.0 999.0  29.6 999.0 99.0 99.00
2021 05 01 11 56 999 99.0 99.0  1.32  7.14  5.29  99 9999.0 999.0  29.6 999.0 99.0 99.00
2021 05 01 12 26 999 99.0 99.0  1.37  7.69  5.49  90 9999.0 999.0  29.6 999.0 99.0 99.00
2021 05 01 12 56 999 99.0 99.0  1.39  7.14  5.45  91 9999.0 999.0  29.6 999.0 99.0 99.00
2021 05 01 13 26 999 99.0 99.0  1.39  7.69  5.32  92 9999.0 999.0  29.6 999.0 99.0 99.00
2021 05 01 13 56 999 99.0 99.0  1.49  7.69  5.65  85 9999.0 999.0  29.6 999.0 99.0 99.00
2021 05 01 14 26 999 99.0 99.0  1.50  7.14  5.52  90 9999.0 999.0  29.6 999.0 99.0 99.00
2021 05 01 14 56 999 99.0 99.0  1.52  9.09  5.50  69 9999.0 999.0  29.6 999.0 99.0 99.00
2021 05 01 15 26 999 99.0 99.0  1.51  9.09  5.63  67 9999.0 999.0  29.6 999.0 99.0 99.00
2021 05 01 15 56 999 99.0 99.0  1.48  7.69  5.67  87 9999.0 999.0  29.6 999.0 99.0 99.00
2021 05 01 16 26 999 99.0 99.0  1.50  7.69  5.82  91 9999.0 999.0  29.6 999.0 99.0 99.00
2021 05 01 16 56 999 99.0 99.0  1.57  8.33  5.75  83 9999.0 999.0  29.6 999.0 99.0 99.00
2021 05 01 17 26 999 99.0 99.0  1.51  9.09  5.67  67 9999.0 999.0  29.6 999.0 99.0 99.00
2021 05 01 17 56 999 99.0 99.0  1.50  9.09  5.46  70 9999.0 999.0  29.6 999.0 99.0 99.00
2021 05 01 18 26 999 99.0 99.0  1.51  9.88  5.62  71 9999.0 999.0  29.6 999.0 99.0 99.00
2021 05 01 18 56 999 99.0 99.0  1.49  9.09  5.54  66 9999.0 999.0  29.6 999.0 99.0 99.00
2021 05 01 19 26 999 99.0 99.0  1.55  9.88  5.48  54 9999.0 999.0  29.6 999.0 99.0 99.00
2021 05 01 19 56 999 99.0 99.0  1.64  7.14  5.44  95 9999.0 999.0  29.6 999.0 99.0 99.00
2021 05 01 20 26 999 99.0 99.0  1.54  5.88  5.30  91 9999.0 999.0  29.6 999.0 99.0 99.00
2021 05 01 20 56 999 99.0 99.0  1.59  7.69  5.44  90 9999.0 999.0  29.6 999.0 99.0 99.00
2021 05 01 21 26 999 99.0 99.0  1.50  6.25  5.36  99 9999.0 999.0  29.6 999.0 99.0 99.00
2021 05 01 21 56 999 99.0 99.0  1.41  9.09  5.45  77 9999.0 999.0  29.6 999.0 99.0 99.00
2021 05 01 22 26 999 99.0 99.0  1.39  5.00  5.27  97 9999.0 999.0  29.6 999.0 99.0 99.00
2021 05 01 22 56 999 99.0 99.0  1.33  5.88  5.29 109 9999.0 999.0  29.6 999.0 99.0 99.00
2021 05 01 23 26 999 99.0 99.0  1.43  9.88  5.44  70 9999.0 999.0  29.6 999.0 99.0 99.00
2021 05 01 23 56 999 99.0 99.0  1.45  9.88  5.22  74 9999.0 999.0  29.6 999.0 99.0 99.00
2021 05 02 00 26 999 99.0 99.0  1.49  9.88  5.40  66 9999.0 999.0  29.7 999.0 99.0 99.00
2021 05 02 00 56 999 99.0 99.0  1.47  9.09  5.22  66 9999.0 999.0  29.7 999.0 99.0 99.00
2021 05 02 01 26 999 99.0 99.0  1.49  6.25  5.22 101 9999.0 999.0  29.7 999.0 99.0 99.00
2021 05 02 01 56 999 99.0 99.0  1.54  5.88  5.36  98 9999.0 999.0  29.7 999.0 99.0 99.00
2021 05 02 02 26 999 99.0 99.0  1.44  6.67  5.15  99 9999.0 999.0  29.7 999.0 99.0 99.00
2021 05 02 02 56 999 99.0 99.0  1.56  9.88  5.07  60 9999.0 999.0  29.7 999.0 99.0 99.00
2021 05 02 03 26 999 99.0 99.0  1.51  9.09  5.14  66 9999.0 999.0  29.7 999.0 99.0 99.00
2021 05 02 03 56 999 99.0 99.0  1.62  6.25  5.02  95 9999.0 999.0  29.7 999.0 99.0 99.00
2021 05 02 04 26 999 99.0 99.0  1.57  6.25  5.08  92 9999.0 999.0  29.7 999.0 99.0 99.00
2021 05 02 04 56 999 99.0 99.0  1.57  5.56  4.94  91 9999.0 999.0  29.7 999.0 99.0 99.00
2021 05 02 05 26 999 99.0 99.0  1.63  8.33  5.15  77 9999.0 999.0  29.7 999.0 99.0 99.00
2021 05 02 05 56 999 99.0 99.0  1.64  5.88  5.13  90 9999.0 999.0  29.7 999.0 99.0 99.00
2021 05 02 06 26 999 99.0 99.0  1.68  5.88  5.07  85 9999.0 999.0  29.7 999.0 99.0 99.00
2021 05 02 06 56 999 99.0 99.0  1.67  6.25  5.14  83 9999.0 999.0  29.7 999.0 99.0 99.00
2021 05 02 07 26 999 99.0 99.0  1.69  5.88  5.21  90 9999.0 999.0  29.7 999.0 99.0 99.00
2021 05 02 07 56 999 99.0 99.0  1.65  5.56  5.11  91 9999.0 999.0  29.7 999.0 99.0 99.00
2021 05 02 08 26 999 99.0 99.0  1.76  5.88  5.30  88 9999.0 999.0  29.7 999.0 99.0 99.00
2021 05 02 08 56 999 99.0 99.0  1.81  5.88  5.34  88 9999.0 999.0  29.7 999.0 99.0 99.00
2021 05 02 09 26 999 99.0 99.0  1.60  5.88  5.21  94 9999.0 999.0  29.7 999.0 99.0 99.00
2021 05 02 09 56 999 99.0 99.0  1.68  6.67  5.34  88 9999.0 999.0  29.7 999.0 99.0 99.00
2021 05 02 10 26 999 99.0 99.0  1.66  6.25  5.36  90 9999.0 999.0  29.7 999.0 99.0 99.00
2021 05 02 10 56 999 99.0 99.0  1.64  6.25  5.26 101 9999.0 999.0  29.7 999.0 99.0 99.00
2021 05 02 11 26 999 99.0 99.0  1.71  6.25  5.52  97 9999.0 999.0  29.7 999.0 99.0 99.00
2021 05 02 11 56 999 99.0 99.0  1.67  6.67  5.58  91 9999.0 999.0  29.7 999.0 99.0 99.00
2021 05 02 12 26 999 99.0 99.0  1.72  5.88  5.31  87 9999.0 999.0  29.7 999.0 99.0 99.00
2021 05 02 12 56 999 99.0 99.0  1.73  6.25  5.16  94 9999.0 999.0  29.7 999.0 99.0 99.00
2021 05 02 13 26 999 99.0 99.0  1.68  6.25  5.15  94 9999.0 999.0  29.7 999.0 99.0 99.00
2021 05 02 13 56 999 99.0 99.0  1.69  6.67  5.33  94 9999.0 999.0  29.6 999.0 99.0 99.00
2021 05 02 14 26 999 99.0 99.0  1.63  6.67  5.44  85 9999.0 999.0  29.6 999.0 99.0 99.00
2021 05 02 14 56 999 99.0 99.0  1.58  6.25  5.35  90 9999.0 999.0  29.6 999.0 99.0 99.00
2021 05 02 15 26 999 99.0 99.0  1.80  7.14  5.57  80 9999.0 999.0  29.6 999.0 99.0 99.00
2021 05 02 15 56 999 99.0 99.0  1.78  6.67  5.42  91 9999.0 999.0  29.6 999.0 99.0 99.00
2021 05 02 16 26 999 99.0 99.0  1.80  7.14  5.55  92 9999.0 999.0  29.6 999.0 99.0 99.00
2021 05 02 16 56 999 99.0 99.0  1.83  6.25  5.53  90 9999.0 999.0  29.6 999.0 99.0 99.00
2021 05 02 17 26 999 99.0 99.0  1.84  6.67  5.57  88 9999.0 999.0  29.6 999.0 99.0 99.00
2021 05 02 17 56 999 99.0 99.0  1.85  7.14  5.57  83 9999.0 999.0  29.6 999.0 99.0 99.00
2021 05 02 18 26 999 99.0 99.0  1.95  7.14  5.68  81 9999.0 999.0  29.6 999.0 99.0 99.00
2021 05 02 18 56 999 99.0 99.0  1.88  7.69  5.55  77 9999.0 999.0  29.6 999.0 99.0 99.00
2021 05 02 19 26 999 99.0 99.0  1.99  6.67  5.70  88 9999.0 999.0  29.6 999.0 99.0 99.00
2021 05 02 19 56 999 99.0 99.0  2.09  7.69  5.75  80 9999.0 999.0  29.6 999.0 99.0 99.00
2021 05 02 20 26 999 99.0 99.0  1.88  6.67  5.42  83 9999.0 999.0  29.6 999.0 99.0 99.00
2021 05 02 20 56 999 99.0 99.0  1.98  6.67  5.59  80 9999.0 999.0  29.6 999.0 99.0 99.00
2021 05 02 21 26 999 99.0 99.0  1.90  7.14  5.51  73 9999.0 999.0  29.6 999.0 99.0 99.00
2021 05 02 21 56 999 99.0 99.0  1.92  7.14  5.66  87 9999.0 999.0  29.6 999.0 99.0 99.00
2021 05 02 22 26 999 99.0 99.0  1.79  7.14  5.69  90 9999.0 999.0  29.6 999.0 99.0 99.00
2021 05 02 22 56 999 99.0 99.0  1.83  7.14  5.72  78 9999.0 999.0  29.6 999.0 99.0 99.00
2021 05 02 23 26 999 99.0 99.0  1.88  7.14  5.74  85 9999.0 999.0  29.6 999.0 99.0 99.00
2021 05 02 23 56 999 99.0 99.0  1.83  8.33  5.53  76 9999.0 999.0  29.6 999.0 99.0 99.00
2021 05 03 00 26 999 99.0 99.0  1.78  7.69  5.48  88 9999.0 999.0  29.6 999.0 99.0 99.00
2021 05 03 00 56 999 99.0 99.0  1.85  7.69  5.55  90 9999.0 999.0  29.6 999.0 99.0 99.00
2021 05 03 01 26 999 99.0 99.0  1.87  7.69  5.70  83 9999.0 999.0  29.6 999.0 99.0 99.00
2021 05 03 01 56 999 99.0 99.0  1.85  7.69  5.73  85 9999.0 999.0  29.7 999.0 99.0 99.00
2021 05 03 02 26 999 99.0 99.0  1.78  8.33  5.72  74 9999.0 999.0  29.7 999.0 99.0 99.00
2021 05 03 02 56 999 99.0 99.0  1.85  8.33  5.64  77 9999.0 999.0  29.7 999.0 99.0 99.00
2021 05 03 03 26 999 99.0 99.0  1.79  7.69  5.50  85 9999.0 999.0  29.7 999.0 99.0 99.00
2021 05 03 03 56 999 99.0 99.0  1.89  7.69  5.55  81 9999.0 999.0  29.7 999.0 99.0 99.00
2021 05 03 04 26 999 99.0 99.0  1.77  7.69  5.51  85 9999.0 999.0  29.7 999.0 99.0 99.00
2021 05 03 04 56 999 99.0 99.0  1.93  8.33  5.63  74 9999.0 999.0  29.7 999.0 99.0 99.00
2021 05 03 05 26 999 99.0 99.0  1.79  7.69  5.55  81 9999.0 999.0  29.7 999.0 99.0 99.00
2021 05 03 05 56 999 99.0 99.0  1.82  7.69  5.66  77 9999.0 999.0  29.7 999.0 99.0 99.00
2021 05 03 06 26 999 99.0 99.0  1.75  7.69  5.58  83 9999.0 999.0  29.7 999.0 99.0 99.00
2021 05 03 06 56 999 99.0 99.0  1.81  8.33  5.76  77 9999.0 999.0  29.7 999.0 99.0 99.00
2021 05 03 07 26 999 99.0 99.0  1.77  7.69  5.82  80 9999.0 999.0  29.7 999.0 99.0 99.00
2021 05 03 07 56 999 99.0 99.0  1.83  8.33  5.85  77 9999.0 999.0  29.7 999.0 99.0 99.00
2021 05 03 08 26 999 99.0 99.0  1.83  7.69  5.82  84 9999.0 999.0  29.7 999.0 99.0 99.00
2021 05 03 08 56 999 99.0 99.0  1.71  7.14  5.62  85 9999.0 999.0  29.7 999.0 99.0 99.00
2021 05 03 09 26 999 99.0 99.0  1.77  7.69  5.70  84 9999.0 999.0  29.7 999.0 99.0 99.00
2021 05 03 09 56 999 99.0 99.0  1.75  7.14  5.45  90 9999.0 999.0  29.7 999.0 99.0 99.00
2021 05 03 10 26 999 99.0 99.0  1.73  7.69  5.43  76 9999.0 999.0  29.7 999.0 99.0 99.00
2021 05 03 10 56 999 99.0 99.0  1.75  7.14  5.53  85 9999.0 999.0  29.6 999.0 99.0 99.00
2021 05 03 11 26 999 99.0 99.0  1.71  7.69  5.76  87 9999.0 999.0  29.6 999.0 99.0 99.00
2021 05 03 11 56 999 99.0 99.0  1.62  7.69  5.54  80 9999.0 999.0  29.6 999.0 99.0 99.00
2021 05 03 12 26 999 99.0 99.0  1.69  7.69  5.61  88 9999.0 999.0  29.6 999.0 99.0 99.00
2021 05 03 12 56 999 99.0 99.0  1.75  7.69  5.56  81 9999.0 999.0  29.6 999.0 99.0 99.00
2021 05 03 13 26 999 99.0 99.0  1.76  8.33  5.61  80 9999.0 999.0  29.6 999.0 99.0 99.00
2021 05 03 13 56 999 99.0 99.0  1.79  7.14  5.62  92 9999.0 999.0  29.6 999.0 99.0 99.00
2021 05 03 14 26 999 99.0 99.0  1.82  7.69  5.63  83 9999.0 999.0  29.6 999.0 99.0 99.00
2021 05 03 14 56 999 99.0 99.0  1.77  8.33  5.40  83 9999.0 999.0  29.5 999.0 99.0 99.00
2021 05 03 15 26 999 99.0 99.0  1.80  7.69  5.42  87 9999.0 999.0  29.5 999.0 99.0 99.00
2021 05 03 15 56 999 99.0 99.0  1.85  7.69  5.52  81 9999.0 999.0  29.5 999.0 99.0 99.00
2021 05 03 16 26 999 99.0 99.0  1.82  7.69  5.29  85 9999.0 999.0  29.5 999.0 99.0 99.00
2021 05 03 16 56 999 99.0 99.0  1.90  7.69  5.47  92 9999.0 999.0  29.5 999.0 99.0 99.00
2021 05 03 17 26 999 99.0 99.0  1.73  7.14  5.39  92 9999.0 999.0  29.5 999.0 99.0 99.00
2021 05 03 17 56 999 99.0 99.0  1.90  7.69  5.51  90 9999.0 999.0  29.5 999.0 99.0 99.00
2021 05 03 18 26 999 99.0 99.0  2.01  7.14  5.43  88 9999.0 999.0  29.5 999.0 99.0 99.00
2021 05 03 18 56 999 99.0 99.0  1.87  8.33  5.46  77 9999.0 999.0  29.5 999.0 99.0 99.00
2021 05 03 19 26 999 99.0 99.0  1.91  7.69  5.48  84 9999.0 999.0  29.5 999.0 99.0 99.00
2021 05 03 19 56 999 99.0 99.0  1.92  7.69  5.34  87 9999.0 999.0  29.5 999.0 99.0 99.00
2021 05 03 20 26 999 99.0 99.0  2.00  7.69  5.50  77 9999.0 999.0  29.5 999.0 99.0 99.00
2021 05 03 20 56 999 99.0 99.0  2.00  7.69  5.51  84 9999.0 999.0  29.5 999.0 99.0 99.00
2021 05 03 21 26 999 99.0 99.0  1.99  6.25  5.45  85 9999.0 999.0  29.5 999.0 99.0 99.00
2021 05 03 21 56 999 99.0 99.0  1.96  6.67  5.56  84 9999.0 999.0  29.5 999.0 99.0 99.00
2021 05 03 22 26 999 99.0 99.0  1.94  7.69  5.51  85 9999.0 999.0  29.5 999.0 99.0 99.00
2021 05 03 22 56 999 99.0 99.0  1.85  8.33  5.66  87 9999.0 999.0  29.5 999.0 99.0 99.00
2021 05 03 23 26 999 99.0 99.0  1.93  7.69  5.66  81 9999.0 999.0  29.5 999.0 99.0 99.00
2021 05 03 23 56 999 99.0 99.0  1.94  7.69  5.65  81 9999.0 999.0  29.5 999.0 99.0 99.00
2021 05 04 00 26 999 99.0 99.0  1.91  7.69  5.64  84 9999.0 999.0  29.5 999.0 99.0 99.00
2021 05 04 00 56 999 99.0 99.0  2.01  7.69  5.66  85 9999.0 999.0  29.4 999.0 99.0 99.00
2021 05 04 01 26 999 99.0 99.0  1.97  7.14  5.68  94 9999.0 999.0  29.5 999.0 99.0 99.00
2021 05 04 01 56 999 99.0 99.0  1.90  7.69  5.60  94 9999.0 999.0  29.5 999.0 99.0 99.00
2021 05 04 02 26 999 99.0 99.0  2.02  7.14  5.72  85 9999.0 999.0  29.5 999.0 99.0 99.00
2021 05 04 02 56 999 99.0 99.0  1.93  8.33  5.81  77 9999.0 999.0  29.5 999.0 99.0 99.00
2021 05 04 03 26 999 99.0 99.0  1.93  7.69  5.70  77 9999.0 999.0  29.5 999.0 99.0 99.00
2021 05 04 03 56 999 99.0 99.0  1.94  7.69  5.59  83 9999.0 999.0  29.5 999.0 99.0 99.00
2021 05 04 04 26 999 99.0 99.0  1.88  7.14  5.55  88 9999.0 999.0  29.5 999.0 99.0 99.00
2021 05 04 04 56 999 99.0 99.0  2.02  7.69  5.68  85 9999.0 999.0  29.5 999.0 99.0 99.00
2021 05 04 05 26 999 99.0 99.0  2.02  7.69  5.74  88 9999.0 999.0  29.5 999.0 99.0 99.00
2021 05 04 05 56 999 99.0 99.0  2.15  7.69  5.75  80 9999.0 999.0  29.5 999.0 99.0 99.00
2021 05 04 06 26 999 99.0 99.0  1.97  6.67  5.54  84 9999.0 999.0  29.5 999.0 99.0 99.00
2021 05 04 06 56 999 99.0 99.0  2.17  7.69  5.85  78 9999.0 999.0  29.5 999.0 99.0 99.00
2021 05 04 07 26 999 99.0 99.0  2.10  7.69  5.84  80 9999.0 999.0  29.5 999.0 99.0 99.00
2021 05 04 07 56 999 99.0 99.0  2.10  8.33  5.79  78 9999.0 999.0  29.5 999.0 99.0 99.00
2021 05 04 08 26 999 99.0 99.0  1.92  7.69  5.47  95 9999.0 999.0  29.5 999.0 99.0 99.00
2021 05 04 08 56 999 99.0 99.0  2.12  7.69  5.94  87 9999.0 999.0  29.5 999.0 99.0 99.00
2021 05 04 09 26 999 99.0 99.0  2.15  8.33  5.95  80 9999.0 999.0  29.5 999.0 99.0 99.00
2021 05 04 09 56 999 99.0 99.0  2.15  7.69  6.01  87 9999.0 999.0  29.5 999.0 99.0 99.00
2021 05 04 10 26 999 99.0 99.0  2.02  7.14  5.77  87 9999.0 999.0  29.5 999.0 99.0 99.00
2021 05 04 10 56 999 99.0 99.0  2.13  7.69  5.92  87 9999.0 999.0  29.5 999.0 99.0 99.00
2021 05 04 11 26 999 99.0 99.0  2.06  7.69  5.85  95 9999.0 999.0  29.5 999.0 99.0 99.00
2021 05 04 11 56 999 99.0 99.0  1.90  7.69  5.62  87 9999.0 999.0  29.5 999.0 99.0 99.00
2021 05 04 12 26 999 99.0 99.0  1.95  7.69  5.70  97 9999.0 999.0  29.5 999.0 99.0 99.00
2021 05 04 12 56 999 99.0 99.0  2.08  8.33  5.81  85 9999.0 999.0  29.5 999.0 99.0 99.00
2021 05 04 13 26 999 99.0 99.0  2.03  8.33  5.64  83 9999.0 999.0  29.5 999.0 99.0 99.00
2021 05 04 13 56 999 99.0 99.0  2.04  8.33  5.65  80 9999.0 999.0  29.5 999.0 99.0 99.00
2021 05 04 14 26 999 99.0 99.0  2.05  8.33  5.65  81 9999.0 999.0  29.5 999.0 99.0 99.00
2021 05 04 14 56 999 99.0 99.0  1.95  8.33  5.59  87 9999.0 999.0  29.5 999.0 99.0 99.00
2021 05 04 15 26 999 99.0 99.0  2.10  7.69  5.72  84 9999.0 999.0  29.5 999.0 99.0 99.00
2021 05 04 15 56 999 99.0 99.0  2.06  7.69  5.62  83 9999.0 999.0  29.5 999.0 99.0 99.00
2021 05 04 16 26 999 99.0 99.0  2.03  8.33  5.69  77 9999.0 999.0  29.5 999.0 99.0 99.00
2021 05 04 16 56 999 99.0 99.0  2.29  8.33  6.04  85 9999.0 999.0  29.5 999.0 99.0 99.00
2021 05 04 17 26 999 99.0 99.0  1.86  7.69  5.46  83 9999.0 999.0  29.4 999.0 99.0 99.00
2021 05 04 17 56 999 99.0 99.0  2.20  8.33  6.05  91 9999.0 999.0  29.4 999.0 99.0 99.00
2021 05 04 18 26 999 99.0 99.0  2.16  7.69  5.85  84 9999.0 999.0  29.4 999.0 99.0 99.00
