#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2018 01 01 00 00 999 99.0 99.0  1.49  6.67  5.62  87 9999.0 999.0  29.0 999.0 99.0 99.00
2018 01 01 00 30 999 99.0 99.0  1.49  7.14  5.41  83 9999.0 999.0  29.0 999.0 99.0 99.00
2018 01 01 01 00 999 99.0 99.0  1.50  5.88  5.50  83 9999.0 999.0  29.0 999.0 99.0 99.00
2018 01 01 01 30 999 99.0 99.0  1.47  6.67  5.54  82 9999.0 999.0  29.0 999.0 99.0 99.00
2018 01 01 02 00 999 99.0 99.0  1.58 10.53  5.62  75 9999.0 999.0  29.0 999.0 99.0 99.00
2018 01 01 02 30 999 99.0 99.0  1.56  5.88  5.55  86 9999.0 999.0  29.1 999.0 99.0 99.00
2018 01 01 03 30 999 99.0 99.0  1.48  9.88  5.66  75 9999.0 999.0  29.1 999.0 99.0 99.00
2018 01 01 04 00 999 99.0 99.0  1.58  6.67  5.68  87 9999.0 999.0  29.1 999.0 99.0 99.00
2018 01 01 04 30 999 99.0 99.0  1.55 11.76  5.66  69 9999.0 999.0  29.1 999.0 99.0 99.00
2018 01 01 05 00 999 99.0 99.0  1.43  6.25  5.56  98 9999.0 999.0  29.1 999.0 99.0 99.00
2018 01 01 05 30 999 99.0 99.0  1.48  6.67  5.37  94 9999.0 999.0  29.1 999.0 99.0 99.00
2018 01 01 06 00 999 99.0 99.0  1.53  7.14  5.58  87 9999.0 999.0  29.1 999.0 99.0 99.00
2018 01 01 06 30 999 99.0 99.0  1.52  6.25  5.43  96 9999.0 999.0  29.0 999.0 99.0 99.00
2018 01 01 07 00 999 99.0 99.0  1.57  6.25  5.49  98 9999.0 999.0  29.0 999.0 99.0 99.00
2018 01 01 07 30 999 99.0 99.0  1.58  6.67  5.40  97 9999.0 999.0  29.0 999.0 99.0 99.00
2018 01 01 08 00 999 99.0 99.0  1.61  6.25  5.37  94 9999.0 999.0  29.0 999.0 99.0 99.00
