#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2013 01 02 06 45 999 99.0 99.0  2.55  9.88  6.57  81 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 02 07 15 999 99.0 99.0  2.84  9.88  6.78  80 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 02 07 45 999 99.0 99.0  2.63  9.88  6.42  83 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 02 08 15 999 99.0 99.0  2.50 10.53  6.20  84 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 02 08 45 999 99.0 99.0  2.82 10.53  6.75  78 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 02 09 15 999 99.0 99.0  2.52  9.88  6.44  87 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 02 09 45 999 99.0 99.0  2.55  9.88  6.60  85 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 02 10 15 999 99.0 99.0  2.48  9.09  6.64  84 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 02 10 45 999 99.0 99.0  2.52  9.88  6.52  81 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 02 11 15 999 99.0 99.0  2.41 10.53  6.51  84 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 02 11 45 999 99.0 99.0  2.55 10.53  6.55  71 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 02 12 15 999 99.0 99.0  2.48  8.33  6.54  91 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 02 12 45 999 99.0 99.0  2.58  9.88  6.51  80 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 02 13 15 999 99.0 99.0  2.56  9.88  6.50  83 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 02 13 45 999 99.0 99.0  2.60  9.88  6.58  77 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 02 14 15 999 99.0 99.0  2.65  9.88  6.65  76 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 02 14 45 999 99.0 99.0  2.74  9.88  6.62  77 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 02 15 15 999 99.0 99.0  2.55  9.09  6.50  83 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 02 15 45 999 99.0 99.0  2.51  9.09  6.32  87 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 02 16 15 999 99.0 99.0  2.68  8.33  6.25  88 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 02 16 45 999 99.0 99.0  2.66 10.53  6.30  84 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 02 17 15 999 99.0 99.0  2.72  9.88  6.54  77 9999.0 999.0  28.5 999.0 99.0 99.00
2013 01 02 17 45 999 99.0 99.0  2.83  9.88  6.37  80 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 02 18 15 999 99.0 99.0  2.92  9.09  6.51  84 9999.0 999.0  28.5 999.0 99.0 99.00
2013 01 02 18 45 999 99.0 99.0  2.86  7.69  6.35  81 9999.0 999.0  28.5 999.0 99.0 99.00
2013 01 02 19 15 999 99.0 99.0  2.98  7.69  6.46  92 9999.0 999.0  28.5 999.0 99.0 99.00
2013 01 02 19 45 999 99.0 99.0  3.00  8.33  6.47  83 9999.0 999.0  28.5 999.0 99.0 99.00
2013 01 02 20 15 999 99.0 99.0  2.82  9.88  6.45  84 9999.0 999.0  28.5 999.0 99.0 99.00
2013 01 02 20 45 999 99.0 99.0  2.93  9.09  6.48  90 9999.0 999.0  28.5 999.0 99.0 99.00
2013 01 02 21 15 999 99.0 99.0  2.81  7.69  6.39  88 9999.0 999.0  28.5 999.0 99.0 99.00
2013 01 02 21 45 999 99.0 99.0  3.07  8.33  6.71  95 9999.0 999.0  28.5 999.0 99.0 99.00
2013 01 02 22 15 999 99.0 99.0  3.21  9.88  6.93  85 9999.0 999.0  28.5 999.0 99.0 99.00
2013 01 02 22 45 999 99.0 99.0  2.99  9.88  6.95  92 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 02 23 15 999 99.0 99.0  3.07  9.88  6.95  80 9999.0 999.0  28.5 999.0 99.0 99.00
2013 01 02 23 45 999 99.0 99.0  2.92  9.09  6.71  91 9999.0 999.0  28.5 999.0 99.0 99.00
2013 01 03 00 15 999 99.0 99.0  3.32  9.88  7.21  87 9999.0 999.0  28.5 999.0 99.0 99.00
2013 01 03 00 45 999 99.0 99.0  3.40  9.88  7.30  90 9999.0 999.0  28.5 999.0 99.0 99.00
2013 01 03 01 15 999 99.0 99.0  3.31  9.88  7.16  90 9999.0 999.0  28.5 999.0 99.0 99.00
2013 01 03 01 45 999 99.0 99.0  3.20 10.53  7.21  91 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 03 02 15 999 99.0 99.0  3.44  9.09  7.42  95 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 03 02 45 999 99.0 99.0  3.10 10.53  7.16  81 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 03 03 15 999 99.0 99.0  3.50 10.53  7.45  85 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 03 03 45 999 99.0 99.0  3.54 10.53  7.31  80 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 03 04 15 999 99.0 99.0  3.26 10.53  6.98  87 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 03 04 45 999 99.0 99.0  3.81 10.53  7.58  85 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 03 05 15 999 99.0 99.0  3.64 10.53  7.67  84 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 03 05 45 999 99.0 99.0  3.50  9.09  7.32  81 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 03 06 15 999 99.0 99.0  3.81  9.88  7.83  85 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 03 06 45 999 99.0 99.0  3.77 11.11  7.69  88 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 03 07 15 999 99.0 99.0  3.66 10.53  7.60  90 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 03 07 45 999 99.0 99.0  3.48 11.11  7.43  83 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 03 08 15 999 99.0 99.0  3.41 10.53  7.44  78 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 03 08 45 999 99.0 99.0  3.60 10.53  7.63  90 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 03 09 15 999 99.0 99.0  3.51 10.53  7.68  85 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 03 09 45 999 99.0 99.0  3.19 11.11  7.46  84 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 03 10 15 999 99.0 99.0  3.37 10.53  7.76  90 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 03 10 45 999 99.0 99.0  3.26 11.11  7.64  97 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 03 11 15 999 99.0 99.0  3.29  9.88  7.63  92 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 03 11 45 999 99.0 99.0  3.39  9.88  7.95  94 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 03 12 15 999 99.0 99.0  3.48 10.53  7.99  80 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 03 12 45 999 99.0 99.0  3.14  9.88  7.51  81 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 03 13 15 999 99.0 99.0  3.71 11.11  8.21  81 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 03 13 45 999 99.0 99.0  3.11 11.11  7.88  87 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 03 14 15 999 99.0 99.0  3.29 11.11  7.88  84 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 03 14 45 999 99.0 99.0  3.06 11.11  7.69  94 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 03 15 15 999 99.0 99.0  3.16 11.11  7.91  85 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 03 15 45 999 99.0 99.0  3.28 10.53  7.81  88 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 03 16 15 999 99.0 99.0  3.21 11.11  8.05  83 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 03 16 45 999 99.0 99.0  3.14 10.53  7.80  95 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 03 17 15 999 99.0 99.0  2.79 11.76  7.57  83 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 03 17 45 999 99.0 99.0  2.93 10.53  7.55  88 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 03 18 15 999 99.0 99.0  2.70 11.11  7.43  84 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 03 18 45 999 99.0 99.0  2.79 11.11  7.68  76 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 03 19 15 999 99.0 99.0  2.78 11.76  7.84  85 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 03 19 45 999 99.0 99.0  2.70 10.53  7.51  84 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 03 20 15 999 99.0 99.0  2.50 11.76  7.44  88 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 03 20 45 999 99.0 99.0  2.65 11.11  7.63  85 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 03 21 15 999 99.0 99.0  3.03 11.11  8.17  90 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 03 21 45 999 99.0 99.0  2.49 10.53  7.75  92 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 03 22 15 999 99.0 99.0  2.53 11.76  8.04  83 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 03 22 45 999 99.0 99.0  2.68 11.76  7.88  95 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 03 23 15 999 99.0 99.0  2.41 11.76  7.58  91 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 03 23 45 999 99.0 99.0  2.46 11.11  8.03  91 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 04 00 15 999 99.0 99.0  2.73 10.53  8.28  91 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 04 00 45 999 99.0 99.0  2.44 11.11  7.91  85 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 04 01 15 999 99.0 99.0  2.46 11.11  8.15  87 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 04 01 45 999 99.0 99.0  2.38 10.53  7.65  94 9999.0 999.0  28.7 999.0 99.0 99.00
2013 01 04 02 15 999 99.0 99.0  2.66 11.76  8.25  94 9999.0 999.0  28.7 999.0 99.0 99.00
2013 01 04 02 45 999 99.0 99.0  2.54 10.53  7.93  97 9999.0 999.0  28.7 999.0 99.0 99.00
2013 01 04 03 15 999 99.0 99.0  2.79 11.11  8.33  94 9999.0 999.0  28.7 999.0 99.0 99.00
2013 01 04 03 45 999 99.0 99.0  2.39 11.11  7.68  87 9999.0 999.0  28.7 999.0 99.0 99.00
2013 01 04 04 15 999 99.0 99.0  2.66 10.53  7.93  95 9999.0 999.0  28.7 999.0 99.0 99.00
2013 01 04 04 45 999 99.0 99.0  2.57 11.11  7.91  95 9999.0 999.0  28.7 999.0 99.0 99.00
2013 01 04 05 15 999 99.0 99.0  2.62 10.53  7.88  95 9999.0 999.0  28.7 999.0 99.0 99.00
2013 01 04 05 45 999 99.0 99.0  2.48 11.11  7.54  80 9999.0 999.0  28.7 999.0 99.0 99.00
2013 01 04 06 15 999 99.0 99.0  2.64  9.88  7.84  88 9999.0 999.0  28.7 999.0 99.0 99.00
2013 01 04 06 45 999 99.0 99.0  2.77 10.53  7.96  88 9999.0 999.0  28.7 999.0 99.0 99.00
2013 01 04 07 15 999 99.0 99.0  2.54 11.11  7.71  88 9999.0 999.0  28.7 999.0 99.0 99.00
2013 01 04 07 45 999 99.0 99.0  2.71 11.11  8.00  84 9999.0 999.0  28.7 999.0 99.0 99.00
2013 01 04 08 15 999 99.0 99.0  2.67  9.88  7.62  90 9999.0 999.0  28.7 999.0 99.0 99.00
2013 01 04 09 15 999 99.0 99.0  2.21 10.53  7.21  85 9999.0 999.0  28.7 999.0 99.0 99.00
2013 01 04 09 45 999 99.0 99.0  2.40  9.88  7.60  92 9999.0 999.0  28.7 999.0 99.0 99.00
2013 01 04 10 15 999 99.0 99.0  2.06 10.53  7.41  84 9999.0 999.0  28.7 999.0 99.0 99.00
2013 01 04 10 45 999 99.0 99.0  2.24 11.11  7.49  95 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 04 11 15 999 99.0 99.0  2.32 10.53  7.76  90 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 04 11 45 999 99.0 99.0  2.35 10.53  7.70  88 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 04 12 15 999 99.0 99.0  2.20 11.11  7.53  92 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 04 12 45 999 99.0 99.0  2.44 10.53  7.94  78 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 04 13 15 999 99.0 99.0  2.22  9.88  7.55  91 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 04 13 45 999 99.0 99.0  2.57 11.11  8.04  85 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 04 14 15 999 99.0 99.0  2.49 10.53  7.73  88 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 04 14 45 999 99.0 99.0  2.45 10.53  7.79  87 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 04 15 15 999 99.0 99.0  2.67 11.11  8.04  83 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 04 16 15 999 99.0 99.0  2.49 11.11  8.01  84 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 04 16 45 999 99.0 99.0  2.35 11.11  7.71  84 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 04 17 15 999 99.0 99.0  2.16  9.88  7.34  91 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 04 17 45 999 99.0 99.0  2.47  9.88  7.65  84 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 04 18 15 999 99.0 99.0  2.42 10.53  7.49  92 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 04 18 45 999 99.0 99.0  2.34 11.11  7.50  94 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 04 19 15 999 99.0 99.0  2.26 11.11  7.26  91 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 04 19 45 999 99.0 99.0  2.33 10.53  7.37  83 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 04 20 15 999 99.0 99.0  2.46  9.88  7.50  91 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 04 20 45 999 99.0 99.0  2.55 10.53  7.68  88 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 04 21 15 999 99.0 99.0  2.39 11.11  6.97  95 9999.0 999.0  28.6 999.0 99.0 99.00
