#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2014 04 15 06 15 999 99.0 99.0  1.01 10.53  6.36  91 9999.0 999.0  30.8 999.0 99.0 99.00
2014 04 15 06 45 999 99.0 99.0  1.07 10.53  6.48  76 9999.0 999.0  30.7 999.0 99.0 99.00
2014 04 15 07 15 999 99.0 99.0  1.11 10.53  6.82  81 9999.0 999.0  30.5 999.0 99.0 99.00
2014 04 15 07 45 999 99.0 99.0  1.04  8.33  6.67  91 9999.0 999.0  30.4 999.0 99.0 99.00
2014 04 15 08 15 999 99.0 99.0  0.96  9.09  6.42  81 9999.0 999.0  30.2 999.0 99.0 99.00
2014 04 15 08 45 999 99.0 99.0  1.01  9.09  6.58  84 9999.0 999.0  30.1 999.0 99.0 99.00
2014 04 15 09 15 999 99.0 99.0  1.04  9.09  6.55  88 9999.0 999.0  30.0 999.0 99.0 99.00
2014 04 15 09 45 999 99.0 99.0  1.02 10.53  6.80  81 9999.0 999.0  30.2 999.0 99.0 99.00
2014 04 15 10 15 999 99.0 99.0  1.03  9.88  6.94  76 9999.0 999.0  30.1 999.0 99.0 99.00
2014 04 15 10 45 999 99.0 99.0  1.00  8.33  6.92  87 9999.0 999.0  30.0 999.0 99.0 99.00
2014 04 15 11 15 999 99.0 99.0  1.00  7.14  6.65  94 9999.0 999.0  30.0 999.0 99.0 99.00
2014 04 15 11 45 999 99.0 99.0  1.01  9.88  7.07  87 9999.0 999.0  29.9 999.0 99.0 99.00
2014 04 15 12 15 999 99.0 99.0  0.96  9.88  7.14  85 9999.0 999.0  29.9 999.0 99.0 99.00
2014 04 15 12 45 999 99.0 99.0  0.95  9.88  7.10  91 9999.0 999.0  29.8 999.0 99.0 99.00
2014 04 15 13 15 999 99.0 99.0  0.95  8.33  7.05  85 9999.0 999.0  29.7 999.0 99.0 99.00
2014 04 15 13 45 999 99.0 99.0  0.96 10.53  7.04  76 9999.0 999.0  29.4 999.0 99.0 99.00
2014 04 15 14 15 999 99.0 99.0  1.02 10.53  7.18  69 9999.0 999.0  29.3 999.0 99.0 99.00
2014 04 15 14 45 999 99.0 99.0  1.06  9.88  7.11  71 9999.0 999.0  29.3 999.0 99.0 99.00
2014 04 15 15 15 999 99.0 99.0  0.98  7.14  6.83  92 9999.0 999.0  29.2 999.0 99.0 99.00
2014 04 15 15 45 999 99.0 99.0  1.02  9.88  7.07  77 9999.0 999.0  29.2 999.0 99.0 99.00
2014 04 15 16 15 999 99.0 99.0  0.98  9.09  6.99  84 9999.0 999.0  29.3 999.0 99.0 99.00
